Code,시가,고가,저가,종가_x,거래량_x,거래대금_x,등락률,시가총액_x,종가_y,시가총액_y,거래량_y,거래대금_y,상장주식수,Name,Snapshot_Date,Market
060310,1469,1478,1400,1409,383166,546713216,-3.95,74760187360,1409,74760187360,383166,546713216,53059040,3S,20260212,KOSDAQ
095570,5300,5510,5210,5400,617987,3305637210,1.5,244364898600,5400,244364898600,617987,3305637210,45252759,AJ네트웍스,20260212,KOSPI
006840,8290,8570,8110,8530,41526,350290070,3.02,113001695330,8530,113001695330,41526,350290070,13247561,AK홀딩스,20260212,KOSPI
054620,4600,4705,4500,4705,89850,414110013,2.62,86544809805,4705,86544809805,89850,414110013,18394221,APS,20260212,KOSDAQ
265520,22400,22500,21750,22050,184637,4071600000,0.0,331870603050,22050,331870603050,184637,4071600000,15050821,AP시스템,20260212,KOSDAQ
211270,19900,20600,19160,19480,609363,12079250060,-0.36,293803281920,19480,293803281920,609363,12079250060,15082304,AP위성,20260212,KOSDAQ
139050,0,0,0,2805,0,0,0.0,24247965555,2805,24247965555,0,0,8644551,BF랩스,20260212,KOSDAQ
027410,4215,4250,4175,4215,207222,873117361,0.0,403446274065,4215,403446274065,207222,873117361,95716791,BGF,20260212,KOSPI
282330,138300,139200,136400,137900,100759,13875182450,-1.99,2383450637400,137900,2383450637400,100759,13875182450,17283906,BGF리테일,20260212,KOSPI
126600,4000,4010,3925,3925,66237,262253246,-1.88,246360078575,3925,246360078575,66237,262253246,62766899,BGF에코머티리얼즈,20260212,KOSDAQ
138930,20750,21550,20400,21450,2493513,53009499484,5.93,6656514857850,21450,6656514857850,2493513,53009499484,310327033,BNK금융지주,20260212,KOSPI
001460,56000,57000,52900,57000,14465,787910700,0.0,356030550000,57000,356030550000,14465,787910700,6246150,BYC,20260212,KOSPI
001465,27150,27600,26300,27550,8146,219422400,0.92,59338567500,27550,59338567500,8146,219422400,2153850,BYC우,20260212,KOSPI
083790,1337,1354,1300,1350,169179,222429200,0.97,103807145700,1350,103807145700,169179,222429200,76894182,CG인바이츠,20260212,KOSDAQ
001040,224000,234000,221500,232000,155750,35455008750,4.04,6769063536000,232000,6769063536000,155750,35455008750,29176998,CJ,20260212,KOSPI
079160,6090,6100,6000,6090,353060,2136723675,0.0,1008393271620,6090,1008393271620,353060,2136723675,165581818,CJ CGV,20260212,KOSPI
035760,75400,80000,74600,80000,136979,10623730300,5.82,1754332320000,80000,1754332320000,136979,10623730300,21929154,CJ ENM,20260212,KOSDAQ
311690,8760,8940,8750,8850,24242,214552700,1.03,115629338700,8850,115629338700,24242,214552700,13065462,CJ 바이오사이언스,20260212,KOSDAQ
00104K,184000,189700,181700,189700,10135,1896296050,3.1,801769326400,189700,801769326400,10135,1896296050,4226512,CJ4우(전환),20260212,KOSPI
000120,146500,148000,137400,142800,253054,35806565050,-1.99,3257602723200,142800,3257602723200,253054,35806565050,22812344,CJ대한통운,20260212,KOSPI
