Code,WICS_Code,Large,Medium,Small
388610,35201010,건강관리,제약과생물공학,생물공학
240810,45301020,IT,반도체와반도체장비,반도체와반도체장비
489210,40302010,금융,다각화된금융,창업투자
104620,25301040,경기관련소비재,"호텔,레스토랑,레저등","호텔,레스토랑,레저"
482680,40302010,금융,다각화된금융,창업투자
009150,45203030,IT,기술하드웨어와장비,전자장비와기기
020180,45102030,IT,소프트웨어와서비스,IT서비스
162300,15105010,소재,소재,철강
063440,50202020,커뮤니케이션서비스,미디어와엔터테인먼트,방송과엔터테인먼트
003535,40201010,금융,증권,증권
000225,35202020,건강관리,제약과생물공학,제약
487570,20105010,산업재,자본재,복합기업
006405,45352010,IT,전자와전기제품,전기제품
032190,40201010,금융,증권,증권
004090,15101050,소재,소재,화학
400760,40502080,금융,부동산,부동산
232530,Unclassified,Unclassified,Unclassified,Error
035080,25502020,경기관련소비재,소매(유통),인터넷과카탈로그소매
065660,35202020,건강관리,제약과생물공학,제약
007120,45102030,IT,소프트웨어와서비스,IT서비스
368600,45203030,IT,기술하드웨어와장비,전자장비와기기
064850,45102030,IT,소프트웨어와서비스,IT서비스
002920,25101020,경기관련소비재,자동차와부품,자동차부품
119610,35101020,건강관리,건강관리장비와서비스,건강관리장비와용품
053610,45301020,IT,반도체와반도체장비,반도체와반도체장비
060720,45201510,IT,기술하드웨어와장비,핸드셋
376180,25204030,경기관련소비재,내구소비재와의류,가정용기기와용품
006800,40201010,금융,증권,증권
388790,45201010,IT,기술하드웨어와장비,통신장비
083500,45402010,IT,디스플레이,디스플레이장비및부품
003670,15101050,소재,소재,화학
009190,15105010,소재,소재,철강
338220,35103010,건강관리,건강관리장비와서비스,건강관리기술
424980,45301020,IT,반도체와반도체장비,반도체와반도체장비
009300,35202020,건강관리,제약과생물공학,제약
036630,50101020,커뮤니케이션서비스,전기통신서비스,다각화된통신서비스
257990,Unclassified,Unclassified,Unclassified,Error
212710,45301020,IT,반도체와반도체장비,반도체와반도체장비
113810,25101020,경기관련소비재,자동차와부품,자동차부품
115450,35202020,건강관리,제약과생물공학,제약
085310,20106510,산업재,자본재,조선
078600,45203030,IT,기술하드웨어와장비,전자장비와기기
024880,20106020,산업재,자본재,기계
298050,15101050,소재,소재,화학
365330,20102520,산업재,자본재,건축자재
015860,20104020,산업재,자본재,전기장비
006125,10102050,에너지,에너지,석유와가스
002210,35202020,건강관리,제약과생물공학,제약
014710,30202020,필수소비재,"식품,음료,담배",식품
004490,25101020,경기관련소비재,자동차와부품,자동차부품
010640,15101050,소재,소재,화학
294630,20104020,산업재,자본재,전기장비
0037T0,40302010,금융,다각화된금융,창업투자
290660,35101020,건강관리,건강관리장비와서비스,건강관리장비와용품
950250,45301020,IT,반도체와반도체장비,반도체와반도체장비
043220,20106020,산업재,자본재,기계
061040,45201510,IT,기술하드웨어와장비,핸드셋
000150,20105010,산업재,자본재,복합기업
298830,45103020,IT,소프트웨어와서비스,소프트웨어
217820,45352010,IT,전자와전기제품,전기제품
195870,45301020,IT,반도체와반도체장비,반도체와반도체장비
021040,15105010,소재,소재,철강
0044K0,40302010,금융,다각화된금융,창업투자
462310,25206040,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품"
014130,20301010,산업재,운송,항공화물운송과물류
384470,35103010,건강관리,건강관리장비와서비스,건강관리기술
065510,35101020,건강관리,건강관리장비와서비스,건강관리장비와용품
093190,45202030,IT,기술하드웨어와장비,컴퓨터와주변기기
161890,25206510,경기관련소비재,내구소비재와의류,화장품
001770,15105010,소재,소재,철강
009320,25101020,경기관련소비재,자동차와부품,자동차부품
238490,45402010,IT,디스플레이,디스플레이장비및부품
369370,50202020,커뮤니케이션서비스,미디어와엔터테인먼트,방송과엔터테인먼트
298000,15101050,소재,소재,화학
066700,35202020,건강관리,제약과생물공학,제약
028260,20105010,산업재,자본재,복합기업
129260,20303010,산업재,운송,해운사
060560,20102520,산업재,자본재,건축자재
484590,20101010,산업재,자본재,우주항공과국방
130660,55101010,유틸리티,유틸리티,전기유틸리티
000520,35202020,건강관리,제약과생물공학,제약
037560,50202020,커뮤니케이션서비스,미디어와엔터테인먼트,방송과엔터테인먼트
034230,25301040,경기관련소비재,"호텔,레스토랑,레저등","호텔,레스토랑,레저"
049950,45402010,IT,디스플레이,디스플레이장비및부품
065530,50102010,커뮤니케이션서비스,전기통신서비스,무선통신서비스
059090,45301020,IT,반도체와반도체장비,반도체와반도체장비
089590,20302010,산업재,운송,항공사
242040,45102030,IT,소프트웨어와서비스,IT서비스
285800,15101050,소재,소재,화학
049120,45402010,IT,디스플레이,디스플레이장비및부품
192820,25206510,경기관련소비재,내구소비재와의류,화장품
389680,45102030,IT,소프트웨어와서비스,IT서비스
086790,40101020,금융,은행,은행
900260,45201010,IT,기술하드웨어와장비,통신장비
054210,45201510,IT,기술하드웨어와장비,핸드셋
005940,40201010,금융,증권,증권
095190,20106020,산업재,자본재,기계
033790,45352010,IT,전자와전기제품,전기제품
025530,25101020,경기관련소비재,자동차와부품,자동차부품
263720,50203010,커뮤니케이션서비스,미디어와엔터테인먼트,출판
208640,50204020,커뮤니케이션서비스,미디어와엔터테인먼트,게임엔터테인먼트
376290,45201510,IT,기술하드웨어와장비,핸드셋
067290,35202020,건강관리,제약과생물공학,제약
071320,55103010,유틸리티,유틸리티,복합유틸리티
430690,45103020,IT,소프트웨어와서비스,소프트웨어
001755,40201010,금융,증권,증권
004365,20301010,산업재,운송,항공화물운송과물류
362990,50201010,커뮤니케이션서비스,미디어와엔터테인먼트,광고
445680,35203010,건강관리,제약과생물공학,생명과학도구및서비스
178780,25504040,경기관련소비재,소매(유통),전문소매
004910,20102520,산업재,자본재,건축자재
137950,10101020,에너지,에너지,에너지장비및서비스
153710,35202020,건강관리,제약과생물공학,제약
123840,35102040,건강관리,건강관리장비와서비스,건강관리업체및서비스
246250,35202020,건강관리,제약과생물공학,제약
488900,20101010,산업재,자본재,우주항공과국방
216050,50201010,커뮤니케이션서비스,미디어와엔터테인먼트,광고
028080,45351010,IT,전자와전기제품,전자제품
344860,25206510,경기관련소비재,내구소비재와의류,화장품
351870,50201010,커뮤니케이션서비스,미디어와엔터테인먼트,광고
000545,40401020,금융,보험,손해보험
480370,20106020,산업재,자본재,기계
028300,35101020,건강관리,건강관리장비와서비스,건강관리장비와용품
064400,45102030,IT,소프트웨어와서비스,IT서비스
062970,45201010,IT,기술하드웨어와장비,통신장비
00279K,25206510,경기관련소비재,내구소비재와의류,화장품
030530,45301020,IT,반도체와반도체장비,반도체와반도체장비
460870,15103020,소재,소재,포장재
222800,45203030,IT,기술하드웨어와장비,전자장비와기기
095720,25601010,경기관련소비재,교육서비스,교육서비스
417970,20106020,산업재,자본재,기계
008355,15104040,소재,소재,비철금속
001527,20102520,산업재,자본재,건축자재
000155,20105010,산업재,자본재,복합기업
424960,25101020,경기관련소비재,자동차와부품,자동차부품
002320,20301010,산업재,운송,항공화물운송과물류
005420,15101050,소재,소재,화학
205500,50204020,커뮤니케이션서비스,미디어와엔터테인먼트,게임엔터테인먼트
005389,25102030,경기관련소비재,자동차와부품,자동차
464580,50202020,커뮤니케이션서비스,미디어와엔터테인먼트,방송과엔터테인먼트
900290,15101050,소재,소재,화학
053800,45103020,IT,소프트웨어와서비스,소프트웨어
146320,45301020,IT,반도체와반도체장비,반도체와반도체장비
246690,40302010,금융,다각화된금융,창업투자
106080,45201510,IT,기술하드웨어와장비,핸드셋
000040,25102030,경기관련소비재,자동차와부품,자동차
058730,20102520,산업재,자본재,건축자재
396690,40502080,금융,부동산,부동산
004380,20106020,산업재,자본재,기계
069730,15105010,소재,소재,철강
342870,25204030,경기관련소비재,내구소비재와의류,가정용기기와용품
001450,40401020,금융,보험,손해보험
045340,20305030,산업재,운송,운송인프라
229500,Unclassified,Unclassified,Unclassified,Error
012860,25101020,경기관련소비재,자동차와부품,자동차부품
308100,25206040,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품"
042000,45102030,IT,소프트웨어와서비스,IT서비스
475230,20103010,산업재,자본재,건설
448900,25101020,경기관련소비재,자동차와부품,자동차부품
061250,35202020,건강관리,제약과생물공학,제약
005090,10101020,에너지,에너지,에너지장비및서비스
001130,30202020,필수소비재,"식품,음료,담배",식품
023160,20106020,산업재,자본재,기계
352910,45103020,IT,소프트웨어와서비스,소프트웨어
009540,20106510,산업재,자본재,조선
289010,25601010,경기관련소비재,교육서비스,교육서비스
036180,35203010,건강관리,제약과생물공학,생명과학도구및서비스
145270,40502080,금융,부동산,부동산
311960,Unclassified,Unclassified,Unclassified,Error
006345,20104020,산업재,자본재,전기장비
092600,45351010,IT,전자와전기제품,전자제품
230980,20101010,산업재,자본재,우주항공과국방
101170,20106020,산업재,자본재,기계
378340,45352010,IT,전자와전기제품,전기제품
051490,20106020,산업재,자본재,기계
493330,45203030,IT,기술하드웨어와장비,전자장비와기기
178320,20104020,산업재,자본재,전기장비
352770,35201010,건강관리,제약과생물공학,생물공학
005180,30202020,필수소비재,"식품,음료,담배",식품
004830,25206040,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품"
025540,25101020,경기관련소비재,자동차와부품,자동차부품
032940,25206510,경기관련소비재,내구소비재와의류,화장품
0030R0,40502080,금융,부동산,부동산
457940,40302010,금융,다각화된금융,창업투자
299170,35202020,건강관리,제약과생물공학,제약
333430,20106510,산업재,자본재,조선
489460,25206510,경기관련소비재,내구소비재와의류,화장품
014915,45352010,IT,전자와전기제품,전기제품
052900,45301020,IT,반도체와반도체장비,반도체와반도체장비
477340,40302010,금융,다각화된금융,창업투자
457630,40302010,금융,다각화된금융,창업투자
078350,45301020,IT,반도체와반도체장비,반도체와반도체장비
