WICS_Code,WICS_Name,Large_Name,Medium_Name,Small_Name,Micro_Name
10,에너지,에너지,,,
1010,에너지,에너지,에너지,,
101010,에너지장비및서비스,에너지,에너지,에너지장비및서비스,
10101010,석유와 가스 등 시추,에너지,에너지,에너지장비및서비스,석유와 가스 등 시추
10101020,석유와 가스 등 에너지 장비 및 서비스,에너지,에너지,에너지장비및서비스,석유와 가스 등 에너지 장비 및 서비스
101020,석유와가스,에너지,에너지,석유와가스,
10102010,종합 석유 및 가스,에너지,에너지,석유와가스,종합 석유 및 가스
10102020,석유와 가스 탐사 및 생산,에너지,에너지,석유와가스,석유와 가스 탐사 및 생산
10102030,석유와 가스 정제 및 마케팅,에너지,에너지,석유와가스,석유와 가스 정제 및 마케팅
10102040,석유와 가스 저장 및 수송,에너지,에너지,석유와가스,석유와 가스 저장 및 수송
10102050,석탄 및 소모 연료,에너지,에너지,석유와가스,석탄 및 소모 연료
15,소재,소재,,,
1510,소재,소재,소재,,
151010,화학,소재,소재,화학,
15101010,범용 화학제품(Commodity Chemicals),소재,소재,화학,범용 화학제품(Commodity Chemicals)
15101020,다각화된 화학제품(Diversified Chemicals),소재,소재,화학,다각화된 화학제품(Diversified Chemicals)
15101030,화학비료와 농약,소재,소재,화학,화학비료와 농약
15101040,산업용 가스,소재,소재,화학,산업용 가스
15101050,특수 화학제품,소재,소재,화학,특수 화학제품
151030,포장재,소재,소재,포장재,
15103010,금속 및 유리 용기,소재,소재,포장재,금속 및 유리 용기
15103020,종이 포장지,소재,소재,포장재,종이 포장지
151040,비철금속,소재,소재,비철금속,
15104010,알루미늄,소재,소재,비철금속,알루미늄
15104020,다각화된 금속과 채광,소재,소재,비철금속,다각화된 금속과 채광
15104030,금,소재,소재,비철금속,금
15104040,귀금속과 고급 광물,소재,소재,비철금속,귀금속과 고급 광물
151050,철강,소재,소재,철강,
15105010,철강,소재,소재,철강,철강
151060,종이와목재,소재,소재,종이와목재,
15106010,목재,소재,소재,종이와목재,목재
15106020,종이 제품,소재,소재,종이와목재,종이 제품
20,산업재,산업재,,,
2010,자본재,산업재,자본재,,
201010,우주항공과국방,산업재,자본재,우주항공과국방,
20101010,우주항공과 국방,산업재,자본재,우주항공과국방,우주항공과 국방
201020,건축제품,산업재,자본재,건축제품,
20102010,건축 제품,산업재,자본재,건축제품,건축 제품
201025,건축자재,산업재,자본재,건축자재,
20102510,건축 자재,산업재,자본재,건축자재,건축 자재
20102520,건축 소재,산업재,자본재,건축자재,건축 소재
201030,건설,산업재,자본재,건설,
20103010,건설과 엔지니어링,산업재,자본재,건설,건설과 엔지니어링
201035,가구,산업재,자본재,가구,
20103510,가구,산업재,자본재,가구,가구
20103520,가구 소매,산업재,자본재,가구,가구 소매
201040,전기장비,산업재,자본재,전기장비,
20104010,전기 장비,산업재,자본재,전기장비,전기 장비
20104020,중전기 장비,산업재,자본재,전기장비,중전기 장비
201050,복합기업,산업재,자본재,복합기업,
20105010,복합 기업,산업재,자본재,복합기업,복합 기업
201060,기계,산업재,자본재,기계,
20106010,"건설장비, 농기계, 중트럭",산업재,자본재,기계,"건설장비, 농기계, 중트럭"
20106020,산업용 기계,산업재,자본재,기계,산업용 기계
201065,조선,산업재,자본재,조선,
20106510,조선,산업재,자본재,조선,조선
201070,무역회사와판매업체,산업재,자본재,무역회사와판매업체,
20107010,무역 회사와 판매업체,산업재,자본재,무역회사와판매업체,무역 회사와 판매업체
2020,상업서비스와공급품,산업재,상업서비스와공급품,,
202010,상업서비스와공급품,산업재,상업서비스와공급품,상업서비스와공급품,
20201010,상업용 인쇄,산업재,상업서비스와공급품,상업서비스와공급품,상업용 인쇄
20201020,다각화된 상업 서비스,산업재,상업서비스와공급품,상업서비스와공급품,다각화된 상업 서비스
20201030,환경 및 시설 서비스,산업재,상업서비스와공급품,상업서비스와공급품,환경 및 시설 서비스
20201040,사무 서비스와 사무용품,산업재,상업서비스와공급품,상업서비스와공급품,사무 서비스와 사무용품
20201050,인적 자원 및 고용 서비스,산업재,상업서비스와공급품,상업서비스와공급품,인적 자원 및 고용 서비스
20201060,신용평가 서비스,산업재,상업서비스와공급품,상업서비스와공급품,신용평가 서비스
2030,운송,산업재,운송,,
203010,항공화물운송과물류,산업재,운송,항공화물운송과물류,
20301010,항공 화물 운송과 물류,산업재,운송,항공화물운송과물류,항공 화물 운송과 물류
203020,항공사,산업재,운송,항공사,
20302010,항공사,산업재,운송,항공사,항공사
203030,해운사,산업재,운송,해운사,
20303010,해운사,산업재,운송,해운사,해운사
203040,도로와철도운송,산업재,운송,도로와철도운송,
20304010,철도회사,산업재,운송,도로와철도운송,철도회사
20304020,육상 운송회사,산업재,운송,도로와철도운송,육상 운송회사
203050,운송인프라,산업재,운송,운송인프라,
20305010,공항 서비스,산업재,운송,운송인프라,공항 서비스
20305020,고속도로와 선로,산업재,운송,운송인프라,고속도로와 선로
20305030,항구 및 서비스,산업재,운송,운송인프라,항구 및 서비스
25,경기관련소비재,경기관련소비재,,,
